hostname,ip,protocols,is_active,model,comment,created_by,admin_user,admin_user_display,platform,nodes,org_id,org_name
xmtstitsd01,192.168.2.31,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
dell r730,192.168.5.136,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-305,192.168.0.28,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstitutil01,192.168.5.21,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
weaver-esolex-a,192.168.0.104,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmqaitwiki01,192.168.0.6,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmentesx03,192.168.69.11,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmdevoafs01,192.168.5.8,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
WeaverSer36.solex-server.com,192.168.131.11,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
gzwatchdog.mysolex.cn,192.168.131.36,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-303,192.168.131.31,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmprityum01,192.168.131.38,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
mta01-ct.mysolex.cn,192.168.2.7,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmentesx01,192.168.0.126,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
ctpritmstbkp01,27.150.17.200,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.129,192.168.0.193,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmprmeslb01,183.56.227.106,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
weaverser14,192.168.0.135,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
6HK742X,192.168.0.136,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.124,192.168.2.170,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
www.solexhitech.com,192.168.2.171,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstoalb01,192.168.0.134,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
XM-IT-BladeChasis-M1000e-A0,192.168.0.71,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
gzpritmon01,192.168.0.30,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.128,222.76.226.234,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-401,Not Assigned,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmentesx05,Not Assigned,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
ctentesx02,222.76.226.231,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstoalb02,192.168.5.14,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmpritmstbkp01,192.168.5.139,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmentesx04,192.168.5.90,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmproafs02.solex-server.com,222.76.226.232,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-404,192.168.0.35,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-304,192.168.0.160,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmprmeslb02,192.168.2.160,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.126,192.168.5.160,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-403,192.168.86.100,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.170,192.168.0.201,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.122,192.168.0.195,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
ctpritutil02,222.76.226.236,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstjira01,192.168.0.197,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
ctpritutil04,192.168.0.181,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.173,192.168.0.198,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
ctentesx01,192.168.0.149,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmpritwebapp02.solex-server.com,192.168.0.146,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
